cosmological_parameters--h0	cosmological_parameters--omega_m	cosmological_parameters--omega_b	cosmological_parameters--mnu	cosmological_parameters--tau	cosmological_parameters--n_s	cosmological_parameters--a_s	cosmological_parameters--w	prior	like	post	weight
0.614537901357122	0.182434358880077	0.0394758996927051	0.398152269578911	0.0634437430225428	1.04346042113299	3.14079570310339e-09	-1.88257797013235	28.2110682087365	-645622.862378747	-645594.6513105383	0.0
0.779224577197739	0.176684498603414	0.0549066590831681	0.125855986474521	0.0487709811343011	1.04937625549777	3.91671875578608e-09	-1.80867890745492	28.2110682087365	-643742.999479774	-643714.7884115654	0.0
0.634776668968251	0.252581168776535	0.0574408566542762	0.157329801804885	0.0661541845221379	0.96693769466324	4.4477594543654e-09	-1.12309056369308	28.2110682087365	-642215.693587411	-642187.4825192023	0.0
0.594084125583442	0.256454586392936	0.0348969160154896	0.480825967030943	0.0226500076232614	1.06903167686748	4.13285704250901e-09	-0.949851926188783	28.2110682087365	-638105.37093904	-638077.1598708313	0.0
0.522832480411055	0.334076571976324	0.0423710557189393	0.131063500180365	0.0528758991099751	1.06966825419015	3.83167256323921e-09	-1.25459397330436	28.2110682087365	-576977.038554943	-576948.8274867344	0.0
0.868519802808107	0.185625020986892	0.0667644469801368	0.447554017322601	0.0295232061422336	0.986016184810696	3.89327843138883e-09	-1.89010082029115	28.2110682087365	-571156.186489459	-571127.9754212503	0.0
0.563988476914921	0.262386991386647	0.0418211183785984	0.569205335507457	0.0401041509546813	1.06844130205381	4.29694092262636e-09	-0.440160117463025	28.2110682087365	-552019.4104594	-551991.1993911914	0.0
0.768994485170482	0.200878724495184	0.0318096816265581	0.528088125417784	0.0324649315914056	0.88788349665416	4.77849238059343e-09	-0.810987589536301	28.2110682087365	-551652.931685796	-551624.7206175873	0.0
0.650243569783111	0.308839284723056	0.0592536043639054	0.169624105570328	0.0842346720476756	0.989284324200397	4.34000676470372e-09	-0.14353118277869	28.2110682087365	-543092.592673458	-543064.3816052494	0.0
0.529519898099973	0.299045807187292	0.0403540194133523	0.13057298512664	0.0344908124956882	0.93257126244673	3.67641045190868e-09	-0.236495569205467	28.2110682087365	-536823.685023879	-536795.4739556704	0.0
0.54290681580702	0.25558314680451	0.0537280823237828	0.411237686244418	0.0730904582046418	0.957361361887969	3.16551593169334e-09	-1.19265653365242	28.2110682087365	-505466.916980975	-505438.7059127663	0.0
0.764724943527461	0.421263998457933	0.057808042743824	0.533013019339164	0.0411766345198644	1.05872687066028	4.24748309881094e-09	-0.0339269457427203	28.2110682087365	-497161.415992991	-497133.2049247823	0.0
0.581609758041038	0.370299393408223	0.0591689614544387	0.298345209636011	0.0730159931219601	1.02406863429477	4.55949918620885e-09	-1.39989508908519	28.2110682087365	-461931.233763541	-461903.02269533224	0.0
0.547317054665452	0.123809846953187	0.0436412061248302	0.514481469765331	0.0923181028736832	0.903963459118801	1.9645667627279e-09	-1.80493214063543	28.2110682087365	-457580.938504396	-457552.72743618727	0.0
0.726115543323989	0.172429879392545	0.0342011544789345	0.0606000664792476	0.0479443787177405	1.04937419913816	3.1059497206245e-09	-0.272115442273395	28.2110682087365	-449958.17552551	-449929.96445730125	0.0
0.78517104140388	0.177793335173876	0.050311349627145	0.519694495630959	0.0620677915262369	0.922562983634212	3.99615031079141e-09	-1.40831992196837	28.2110682087365	-439948.808605375	-439920.59753716626	0.0
0.801149957262078	0.325348088611748	0.0331245762099398	0.548949233977224	0.0481028671943176	0.894576406040552	4.96357532107572e-09	-0.506076370046443	28.2110682087365	-437716.711904872	-437688.50083666324	0.0
0.614099347422988	0.369775436178574	0.0349723853617692	0.406658322801226	0.0651242988741162	0.925139396107414	4.95370779533097e-09	-1.9534616375257	28.2110682087365	-431704.445002293	-431676.23393408424	0.0
0.542958513403397	0.465922797427844	0.0442327470898347	0.583471434367276	0.0288432276957271	1.05543690933525	4.55200199337863e-09	-1.052703009399	28.2110682087365	-430242.429384432	-430214.21831622324	0.0
0.73447847044985	0.152986836670023	0.0582576363420081	0.110724296029631	0.0312765256295491	1.06508483314932	2.43556232700479e-09	-0.100270225680062	28.2110682087365	-423625.904478362	-423597.69341015327	0.0
0.772765544538418	0.304057889819663	0.0638825956361334	0.396054669515294	0.0653950476661927	1.0311524845477	4.59094787051107e-09	-0.129257703479074	28.2110682087365	-421626.128943553	-421597.9178753443	0.0
0.567460054612213	0.164101731256336	0.0394871139498973	0.533122286157242	0.0173705218470223	1.01326393895038	2.61606182627896e-09	-0.261817413924527	28.2110682087365	-414626.00440865	-414597.79334044125	0.0
0.65293947650568	0.485967816061494	0.0406117315877699	0.294542278462477	0.0236304302009497	0.898338141450965	4.6616619550775e-09	-0.380098709377684	28.2110682087365	-394777.184189986	-394748.97312177724	0.0
0.893319993907731	0.224469227550866	0.0673596171305832	0.44116248783192	0.0495726294728581	1.05002450879448	4.56737637481705e-09	-0.237758938061223	28.2110682087365	-391677.781713162	-391649.5706449533	0.0
0.639729669719891	0.324375507331084	0.0628014104748017	0.379330277098033	0.0969745579847073	1.01167412460048	4.91644026535434e-09	-1.13620006737025	28.2110682087365	-390727.257866315	-390699.0467981063	0.0
0.613830541246923	0.351895934016087	0.0625037422015799	0.274552975959116	0.0520505008110014	1.05551263011652	4.63098107638204e-09	-0.85677498884179	28.2110682087365	-388736.932431966	-388708.7213637573	0.0
0.56739358111246	0.487339277772724	0.0433354698755098	0.305397933773068	0.0414842445608298	1.00542729663631	4.83369026834521e-09	-1.69289359349476	28.2110682087365	-387723.683764724	-387695.47269651527	0.0
0.595809462250973	0.384201574192069	0.0396545193210709	0.124160647632297	0.0768634956117337	1.04522515417968	4.8325931836906e-09	-1.19549687862727	28.2110682087365	-368634.722800941	-368606.51173273224	0.0
0.850092503776318	0.302534604112167	0.0653082696538825	0.460493938237578	0.0598774830767618	0.978210565331488	4.93385836926868e-09	-0.228402579820086	28.2110682087365	-363335.33395108	-363307.12288287125	0.0
0.555510585185439	0.495653663319124	0.055274075363931	0.344773925157983	0.0746452805625316	1.01007890828795	4.89132337205574e-09	-1.53546983719229	28.2110682087365	-352664.841580755	-352636.6305125463	0.0
0.788262596443142	0.382098170395985	0.042259515468331	0.545049308937455	0.051898564382247	1.01916959635914	4.86399307132621e-09	-0.48862293099989	28.2110682087365	-352097.1620712	-352068.95100299123	0.0
0.635680334587867	0.339477410079171	0.0313647633921957	0.152343147543941	0.0353734340210525	1.0591534039302	4.44232010904841e-09	-0.975724095012107	28.2110682087365	-348305.489124815	-348277.27805660624	0.0
0.684488109552653	0.196019668076462	0.0486546974967732	0.173460342110717	0.0441778715121475	0.875106260310863	2.98634163878273e-09	-1.48371598246814	28.2110682087365	-337748.556704167	-337720.34563595825	0.0
0.583498280528378	0.309708021856013	0.0588893406078025	0.0796587954230102	0.0436435320332418	1.00269009395111	3.28910674735586e-09	-1.38776702600686	28.2110682087365	-324599.183388995	-324570.97232078627	0.0
0.814811605249632	0.270114183618024	0.0367595177237378	0.453756813635058	0.0183833869699128	1.006182378391	4.02338328426375e-09	-0.616535122181572	28.2110682087365	-311696.781945085	-311668.57087687624	0.0
0.716214311313247	0.318931703252313	0.0625614675268327	0.152683769284666	0.0661394537911146	1.02544230592109	4.7699626726473e-09	-1.48814942977762	28.2110682087365	-308248.397616601	-308220.1865483923	0.0
0.847775315050968	0.496088524358536	0.0558993331308614	0.560128683258906	0.0151233589611096	1.03576602357975	4.84160654669261e-09	-0.373217229328509	28.2110682087365	-307157.828224942	-307129.61715673323	0.0
0.604645831256334	0.164867212204955	0.069934691331179	0.202612394230701	0.0856509526685189	0.914050101760163	1.95340997899066e-09	-0.00221744455031425	28.2110682087365	-303358.171655421	-303329.9605872123	0.0
0.62219883755024	0.169581970209926	0.0591358770561331	0.284953663225093	0.0608607233673535	0.982069012599126	1.81541479971746e-09	-0.0757813372528908	28.2110682087365	-298787.561282985	-298759.3502147763	0.0
0.756289066973097	0.330577276348806	0.0507645391617935	0.136131371900153	0.0538681881477899	1.00449927126805	4.10320767642698e-09	-0.250047193625387	28.2110682087365	-295222.974950642	-295194.76388243324	0.0
0.503997906084513	0.160874349894093	0.0594197287875241	0.382072571016155	0.0405011446042343	0.92155681013493	2.03362741594025e-09	-0.47379476228033	28.2110682087365	-284268.795253901	-284240.58418569225	0.0
0.515775944290795	0.357419111217757	0.0675615902358896	0.550016737312126	0.0534568261874094	1.06784394160129	3.59879406576583e-09	-0.52483230211035	28.2110682087365	-281950.567469505	-281922.3564012963	0.0
