# zHD       = redshift in CMB frame with VPEC correction
# zHEL      = helio redshift (beware: no VPEC corr) 
# MU        = distance modulus corrected for bias and contamination
# MUERR     = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
# PROB1A_BEAMS = SNIa BEAMS probability from BBC (diagnostic)
# ISDATA_REAL: 1   # flag for cosmology fitter to choose blind option
#
VARNAMES: CID IDSURVEY zHD zHEL MU MUERR MUERR_VPEC MUERR_SYS PROBIA_BEAMS
SN: 2008gl      65 0.03272 0.03354 35.79888   0.09570  0.05620  0.03377  1.00000
SN: SN2016hpx  150 0.03282 0.03338 35.72462   0.11950  0.05610  0.03874  1.00000
SN: SN2017cii  150 0.03289 0.03323 35.94482   0.10590  0.05590  0.05225  1.00000
SN: 2006te      64 0.03290 0.03155 35.86330   0.09870  0.05590  0.03076  1.00000
SN: 2004as      63 0.03296 0.03139 35.88789   0.17050  0.05580  0.06245  1.00000
SN: ASASSN-16bc 150 0.03298 0.03194 35.83886   0.08560  0.05580  0.04062  1.00000
SN: 2008gp       5 0.03333 0.03303 35.79073   0.09070  0.05520  0.02831  1.00000
SN: 2010ag      66 0.03335 0.03340 35.61751   0.16360  0.05520  0.05120  1.00000
SN: 2005iq      64 0.03341 0.03404 36.04714   0.08930  0.05510  0.02911  1.00000
SN: PS15bsq    150 0.03371 0.03430 35.94342   0.08740  0.05460  0.02842  1.00000
SN: 2004L       63 0.03373 0.03229 35.91671   0.18560  0.05460  0.19585  1.00000
SN: 2003cq      63 0.03378 0.03275 35.83002   0.18870  0.05450  0.22911  1.00000
SN: 2006S       64 0.03393 0.03224 36.02585   0.12710  0.05430  0.11890  1.00000
SN: 2006gr      64 0.03428 0.03467 36.06567   0.14650  0.05370  0.04212  1.00000
SN: ASASSN-16dw 150 0.03437 0.03466 35.88227   0.13560  0.05360  0.06150  1.00000
SN: ATLAS17ajs 150 0.03451 0.03265 35.98978   0.21160  0.05340  0.13049  1.00000
SN: 2003kc      63 0.03479 0.03316 35.90068   0.14890  0.05290  0.15070  1.00000
SN: 2003iv      63 0.03491 0.03426 36.00759   0.13580  0.05280  0.04739  1.00000
SN: ASASSN-15jl 150 0.03512 0.03468 36.01209   0.10070  0.05250  0.02843  1.00000
SN: 2005eu      64 0.03516 0.03449 35.99355   0.12700  0.05240  0.03774  1.00000
SN: ASASSN-15tg 150 0.03529 0.03561 35.95831   0.09480  0.05220  0.04875  1.00000
SN: 2007hu      65 0.03551 0.03518 35.99908   0.23230  0.05190  0.12652  1.00000
SN: PTSS-16efw 150 0.03568 0.03557 36.38164   0.09050  0.05160  0.05428  1.00000
SN: ASASSN-15ss 150 0.03599 0.03556 36.14349   0.09020  0.05120  0.02769  1.00000
SN: PS15bbn    150 0.03624 0.03710 36.32171   0.11250  0.05090  0.03283  1.00000
SN: ASASSN-15lu 150 0.03635 0.03505 36.13526   0.11370  0.05070  0.03869  1.00000
SN: 2008hj      65 0.03682 0.03761 36.11589   0.08900  0.05010  0.04984  1.00000
SN: 2006mo      64 0.03702 0.03718 36.05493   0.13460  0.04980  0.07109  1.00000
SN: 2002hu      63 0.03705 0.03670 36.05506   0.09290  0.04980  0.03662  1.00000
SN: 2001eh      63 0.03725 0.03713 36.01163   0.11280  0.04950  0.02425  1.00000
SN: ASASSN-16db 150 0.03730 0.03486 36.00572   0.12160  0.04940  0.03169  1.00000
SN: AT2016hns  150 0.03740 0.03817 36.13544   0.10180  0.04930  0.05006  1.00000
SN: ASASSN-15bc 150 0.03753 0.03672 36.16627   0.13040  0.04910  0.14710  1.00000
SN: 2007jg       5 0.03756 0.03707 36.29413   0.12290  0.04910  0.11162  1.00000
SN: AT2016cvw  150 0.03787 0.03888 36.25136   0.10000  0.04870  0.04302  1.00000
SN: 2008gb      65 0.03796 0.03700 36.20564   0.11680  0.04860  0.08231  1.00000
SN: 2007O       64 0.03818 0.03694 36.04228   0.09290  0.04830  0.04633  1.00000
SN: 2008fr      65 0.03828 0.03900 36.23881   0.09930  0.04820  0.08508  1.00000
SN: 2009bv      65 0.03848 0.03667 36.31590   0.09380  0.04790  0.05645  1.00000
SN: 2008051     65 0.03873 0.03777 36.11446   0.10450  0.04760  0.04563  1.00000
SN: ASASSN-15np 150 0.03884 0.03768 36.17246   0.12690  0.04750  0.05441  1.00000
SN: 2010dw      66 0.03902 0.03812 36.15848   0.15120  0.04730  0.06104  1.00000
SN: ASASSN-15pn 150 0.03909 0.03836 36.36380   0.11710  0.04720  0.04918  1.00000
SN: PS15cze    150 0.04035 0.03937 36.43097   0.15170  0.04580  0.05800  1.00000
SN: 2003fa      63 0.04056 0.04039 36.17019   0.10160  0.04550  0.05035  1.00000
SN: SN2016glz  150 0.04077 0.04099 36.14754   0.11710  0.04530  0.09665  1.00000
SN: PS16axi    150 0.04089 0.03930 36.23851   0.09510  0.04520  0.03309  1.00000
SN: SN2017coa  150 0.04095 0.04000 36.47883   0.14020  0.04510  0.10569  1.00000
SN: 2009do      65 0.04099 0.03964 36.20258   0.09600  0.04510  0.03427  1.00000
SN: 2001az      63 0.04101 0.04069 36.41419   0.09240  0.04500  0.02368  1.00000
SN: 2006cf      64 0.04268 0.04146 36.40039   0.10670  0.04330  0.04199  1.00000
SN: 2007kk      65 0.04285 0.04177 36.24434   0.10940  0.04310  0.11533  1.00000
SN: AT2016htm  150 0.04289 0.04332 36.45229   0.07840  0.04310  0.05773  1.00000
SN: ASASSN-16ct 150 0.04306 0.04191 36.26914   0.15550  0.04290  0.12437  1.00000
SN: 2007nq      65 0.04349 0.04389 36.35762   0.08770  0.04250  0.08078  1.00000
SN: SN2016ayg  150 0.04349 0.04269 36.56492   0.09160  0.04250  0.02996  1.00000
SN: MASTERJ0134 150 0.04369 0.04485 36.39932   0.10030  0.04230  0.02988  1.00000
SN: AT2016cvv  150 0.04438 0.04457 36.55982   0.13520  0.04170  0.03706  1.00000
SN: 2005ku       5 0.04439 0.04525 36.41855   0.16350  0.04170  0.07455  1.00000
SN: PSNJ1204051 150 0.04545 0.04385 36.57787   0.11770  0.04070  0.11969  1.00000
SN: 2005hc      64 0.04575 0.04592 36.69833   0.08690  0.04050  0.03016  1.00000
SN: SN2016esh  150 0.04583 0.04457 36.43470   0.10170  0.04040  0.06398  1.00000
SN: PS17tn     150 0.04590 0.04470 36.48115   0.11790  0.04030  0.02993  1.00000
SN: 2008050     65 0.04625 0.04526 36.31113   0.17380  0.04000  0.08676  1.00000
SN: AT2016ews  150 0.04631 0.04555 36.71239   0.07510  0.04000  0.03489  1.00000
SN: 2005lz      64 0.04643 0.04624 36.44444   0.12420  0.03990  0.03753  1.00000
SN: 2004gu       5 0.04664 0.04558 36.55128   0.13280  0.03970  0.04166  1.00000
SN: 2008cf      65 0.04682 0.04603 36.57426   0.09450  0.03960  0.03357  1.00000
SN: AT2017yk   150 0.04691 0.04644 36.74901   0.16700  0.03950  0.07595  1.00000
SN: 2016afk    150 0.04738 0.04561 36.63623   0.15290  0.03910  0.08389  1.00000
SN: PS16fa     150 0.04760 0.04611 36.71295   0.09420  0.03890  0.07007  1.00000
SN: PS15aii    150 0.04777 0.04655 36.70990   0.07620  0.03880  0.05000  1.00000
SN: PS17akj    150 0.04777 0.04681 36.59457   0.11210  0.03880  0.02730  1.00000
SN: ATLAS16agv 150 0.04819 0.04779 36.59222   0.09350  0.03850  0.08389  1.00000
SN: ASASSN-15pm 150 0.04837 0.04879 36.70720   0.07570  0.03830  0.02609  1.00000
SN: AT2016gmg  150 0.04865 0.04944 36.84929   0.10430  0.03810  0.03722  1.00000
SN: PS16el     150 0.04940 0.04781 36.70383   0.09150  0.03750  0.03671  1.00000
SN: 2006cq      64 0.04944 0.04844 36.83666   0.11690  0.03750  0.02671  1.00000
SN: PS15asb    150 0.04989 0.04863 36.68969   0.09580  0.03720  0.05708  1.00000
