SNID,PROB_SNNTRAINV19_z_TRAINDES_V19
1322229,0.9981
1264572,0.0000
1578064,0.0000
1257602,1.0000
1349081,0.0000
1347091,0.8707
1289973,0.0000
1645100,0.0000
1956021,0.0000
1699071,0.0000
1347481,0.0000
1299504,0.0000
1287639,0.0000
1265062,0.0000
1326340,0.0000
1247673,0.0000
1260189,0.0000
1837083,0.0000
1783123,0.0001
1266301,0.0000
1299355,0.0000
1255316,0.0000
1853130,0.0000
1901097,0.0000
1302550,0.9982
1334311,0.8556
1255523,0.9997
1284834,0.0000
1277838,0.0000
1276145,0.0000
1898025,0.0000
1335055,0.0000
1291469,0.0000
1376081,0.0000
1319758,0.0000
1277187,0.0000
1264083,1.0000
1876591,0.0000
1290161,0.9953
1259505,0.0000
1900856,1.0000
1248820,0.0001
1339387,0.0000
1283149,0.0000
1366196,0.0000
1297276,0.0000
1336620,0.0000
1368520,0.0000
1248005,0.0000
1346380,0.0000
1262610,0.0000
1283178,0.0000
1257756,0.9986
1253254,0.0000
1291149,0.0112
1246878,0.0000
1604031,0.0002
1277893,0.0000
1861451,0.5468
1246299,0.0000
1290060,0.0000
1370297,0.0000
1332522,0.0002
1289976,0.9841
1313230,1.0000
1305384,0.6181
1256143,0.0000
1910206,0.0000
1261324,0.0000
1341135,0.0000
1289574,0.0000
1255604,0.0000
1387140,0.0000
1279974,0.0000
1289445,0.0000
1862171,0.5174
1657073,0.0000
1283740,0.0000
1340419,0.0002
1641375,0.0000
1657045,0.0000
1783046,0.0000
1273068,0.0000
1249350,0.0000
1410046,0.0000
1266989,0.0000
1339417,0.0000
1320259,0.0000
1257813,0.0000
1326166,0.0042
1296321,1.0000
1251171,0.0000
1883268,0.0000
1282984,0.0000
1266657,0.9975
1433032,0.0000
1897042,0.0001
1312885,0.0001
1492039,0.0000
1256126,0.0000
1777124,0.9999
1312308,0.9979
1345578,0.0000
1249487,0.0000
1253980,0.0000
1262189,0.0000
1409038,0.0000
1431096,1.0000
1891093,0.0000
1879414,1.0000
1390213,0.0000
1578053,0.0000
1310222,0.0000
1339321,0.0000
1280919,0.0000
1281492,0.0000
1291007,0.0000
1959023,0.0000
1881018,0.0000
1331367,0.9965
1262550,1.0000
1776349,0.0000
1300101,0.0000
1305904,0.0010
1294802,0.0000
1278769,0.0000
1254614,0.0000
1407075,0.0012
1281030,0.0000
1295685,0.9859
1339402,0.0001
1281085,0.0000
1309584,0.0000
1283286,0.0000
1267091,0.0000
1246895,0.0000
1308751,0.0002
1273338,0.0000
1246945,0.0000
1265405,0.0000
1449057,0.0000
1776235,0.0000
1253324,0.0000
1257515,0.0000
1277114,0.0000
1663020,0.0000
1309190,0.0000
1295279,0.0000
1938188,0.0000
1878740,0.0069
1290751,0.0000
1308579,0.0000
1388101,0.0088
1916193,0.6595
1909320,0.0000
1291885,0.0000
1934099,0.0000
1817249,0.0000
1250605,0.0000
1253857,0.9998
1291638,0.0000
1890073,0.0003
1255192,0.9924
1282971,0.0000
1255161,0.0000
1253021,0.0000
1290928,0.0000
1261233,1.0000
1301938,0.0000
1250544,0.0000
1420181,0.0000
1250120,0.9986
1536028,1.0000
1282131,0.0000
1919062,0.0373
1592033,0.0000
1249838,0.0000
1297210,0.0000
1265623,0.9980
1810098,0.0000
1289970,0.0000
1699130,0.0000
1308155,0.0000
1308146,0.0000
1292862,0.0000
1654084,0.0000
1370999,0.0000
1905316,0.0000
1915161,0.0001
1560054,0.0000
1659126,0.0000
1458037,0.0000
1299033,0.9999
1430136,0.9974
1285060,0.0682
1305642,0.0000
1288388,0.0000
1284600,0.0000
1338074,0.0000
1341604,0.0000
1746030,0.0000
1262164,0.0000
1333259,0.9897
1449087,0.0000
1277872,0.0000
1371110,0.0000
1952048,0.0149
1260221,0.0000
1341108,0.2133
1247110,0.0000
1770217,0.0000
1501065,0.0000
1643253,0.8832
1332008,0.9756
1389284,0.0000
1307523,0.0000
1305054,0.0000
1316940,0.0000
1891247,0.0000
1303765,0.0000
1279390,0.0000
1311087,0.0000
1908493,0.0000
1413058,0.0000
1315947,1.0000
1391121,0.0000
1309560,0.0000
1246274,0.4749
1249069,0.0000
1289012,0.0000
1294639,0.0000
1631024,0.0000
1256609,0.0000
1273465,0.0000
1301828,0.0000
1264068,1.0000
1310755,0.0000
1255029,0.0000
1377107,0.0000
1319058,0.9996
1653212,0.0000
1289413,0.9224
1288916,0.0000
1255127,0.0000
1291054,0.0000
1248125,0.0005
1306944,0.0000
1326030,0.9171
1895249,0.0000
1290945,0.0000
1252360,0.0000
1266822,0.0001
1297046,0.0000
1479094,0.0000
1850324,0.0000
1325901,0.4174
1290812,0.4403
1392209,0.0000
1564085,0.0000
1304014,0.9785
1562061,0.0000
1603018,0.0521
1247028,0.0000
1432197,0.0129
1370755,0.0000
1467037,0.0000
1909142,0.2006
1305387,0.9620
1298888,0.0000
1282288,0.0000
1289906,0.0000
1890159,0.0001
1298061,0.0000
1322226,0.0000
1250279,1.0000
1345407,0.0000
1278368,0.0000
1578035,0.0000
1901892,0.0000
1913098,0.0000
1390048,0.0000
1299638,0.0000
1560112,0.0000
1434221,0.9998
1947084,0.0000
1277001,0.7782
1643283,0.0000
1295559,0.0000
1324313,0.0003
1389039,0.0084
1533123,0.0000
1721093,0.0000
1339977,0.0000
1773139,0.0000
1641264,0.1538
1326442,0.0000
1849168,0.0000
1296565,0.0000
1876378,1.0000
1284845,0.0016
1333460,0.0000
1950123,0.0000
1303973,0.0000
1311071,0.0000
1368255,0.0001
1250459,0.0000
1311126,0.0000
1250759,0.0000
1336905,0.6208
1248132,0.0000
1315032,0.0000
1259006,0.9999
1291366,0.0000
1873047,0.0000
1252671,0.9743
1905057,0.0000
1370683,0.0000
1247552,0.0000
1294809,0.0000
1250710,0.0000
1265136,0.9978
1432171,0.0000
1871017,1.0000
1833088,0.0230
1302374,0.0000
1277769,0.0000
1322136,0.0000
1332747,0.9999
1299698,0.0000
1653168,0.0000
1316787,0.0119
1345762,0.0000
1249308,0.9435
1302865,0.9950
1293779,0.0000
1904350,0.0000
1326298,0.0000
1261144,0.9607
1290360,0.0000
1308917,0.0000
1777122,0.9180
1346659,0.0000
1291623,0.0000
1281352,0.0013
1580017,0.0000
1588019,0.9137
1292805,0.9649
1366238,0.0000
1659088,0.0000
1321474,0.0000
1280464,0.0000
1304067,0.0000
1344347,1.0000
1283384,0.0000
1263063,0.3238
1251590,0.0002
1935415,0.0000
1295451,0.0005
1246669,0.0000
1883051,0.0000
1433241,0.0000
1291561,0.0000
1900221,0.0000
1507038,0.0000
1850569,0.0000
1646056,0.9932
1345212,0.0000
1466035,0.0000
1327364,0.9997
1883071,0.0057
1267500,0.0000
1516045,0.0000
1266038,0.0000
1331976,0.0000
1295509,0.9934
1780078,0.0000
1946307,0.0002
1894305,0.0049
1446039,0.0000
1958025,0.0000
1920075,0.0000
1291717,0.0000
1299847,0.0000
1956249,0.9933
1576060,0.9990
1326214,1.0000
1366569,0.0000
1467076,0.0006
1308112,0.0000
1370585,0.0000
1292227,0.9996
1780076,0.0000
1262450,0.0000
1594081,0.0000
1254925,0.0000
1906517,0.9302
1367180,0.9672
1590119,0.4824
1610062,0.9964
1308118,0.0000
1432027,1.0000
1247989,0.0552
1246403,0.0000
1368131,1.0000
1342712,0.9987
1307912,0.0000
1248437,0.0000
1312707,0.0000
1682020,1.0000
1247099,0.0000
1252829,1.0000
1338484,0.0000
1300154,0.0000
1936140,0.0000
1642125,0.0000
1920457,1.0000
1647044,0.0000
1282426,0.0000
1469038,0.0000
1246686,0.9994
1288303,0.0000
1922539,0.0021
1936353,0.9995
1294951,0.0000
1307483,0.1035
1701169,0.0000
1701085,0.0000
1327621,0.0006
1250547,0.0000
1254731,0.0000
1347008,0.0000
1281904,0.0001
1371211,0.0000
1292538,0.0000
1253816,0.7932
1618043,0.0000
1880615,0.0000
1449103,0.0000
1283643,0.0000
1273050,0.0000
1273268,0.0000
1325803,0.3622
1246843,0.0000
1674090,0.0000
1848362,0.0000
1279503,0.0000
1304960,0.0000
1287430,0.9865
1256664,0.0000
1317496,1.0000
1345441,0.9197
1274152,0.0003
1449076,0.0000
1251776,0.0000
1484067,0.0000
1309563,0.0000
1894107,0.0000
1303909,0.0000
1560157,0.0000
1876332,0.0000
1797039,0.0000
1298863,0.0193
1345748,0.0000
1314177,0.0000
1315020,0.0000
1948284,0.9992
1380221,0.0000
1316118,0.0000
1335651,0.0918
1281341,0.0000
1410044,0.0000
1274850,0.0000
1383077,0.0000
1247461,0.0003
1247578,0.0000
1290990,0.0000
1640129,0.0008
1326807,0.0000
1284639,0.2579
1256171,0.0000
1961123,0.9969
1305757,0.0000
1488099,0.8349
1247548,0.0000
1277251,0.0000
1549125,0.0000
1247797,0.0000
1880344,0.0000
1883095,0.0000
1311258,0.0000
1449125,0.0000
1249121,0.0000
1254314,0.0005
1320501,1.0000
1281156,0.0000
1299780,0.0000
1883166,1.0000
1292976,0.0047
1306664,0.0000
1247287,0.0000
1654106,0.0000
1928070,0.0000
1966082,0.0300
1265325,0.0000
1312696,0.0000
1397040,0.0000
1781020,0.0000
1814075,0.0000
1620032,0.0000
1946289,0.0000
1908437,0.0000
1278062,0.0000
1246562,0.0000
1347712,0.0003
1291254,1.0000
1773174,0.0000
1472039,0.0018
1304169,0.0000
1260623,0.0000
1322124,0.0000
1263893,0.9963
1385229,0.0040
1343812,0.0000
1324317,0.0000
1862183,0.9990
1430027,0.0000
1250434,0.0000
1263339,0.0000
1916184,0.0000
1247437,0.0014
1904184,0.0000
1651070,0.0000
1277845,0.0000
1331393,0.0002
1286129,0.0000
1274936,0.0000
1338843,0.6139
1921317,0.0015
1303345,0.0000
1780091,0.0542
1298399,0.0000
1690042,0.0000
1611020,0.0000
1288213,0.0000
1960043,0.0000
1862297,0.0000
1333688,0.0000
1380038,0.0000
1248113,0.0044
1287859,0.0000
1277858,0.0000
1281585,0.9952
1861321,0.0000
1250397,0.9991
1303476,0.9551
1312355,0.0000
1901919,0.0000
1731036,0.7947
1271324,0.0000
1311104,0.0000
1905019,0.0000
1509040,0.9939
1331558,0.0000
1248936,1.0000
1632030,0.0000
1291265,0.0000
1263929,0.0000
1281865,0.0000
1879592,0.0000
1281167,0.0000
1386043,0.0000
1304839,0.0249
1286992,0.0000
1849116,0.0000
1256082,0.0002
1254050,0.0000
1879662,0.0000
1701114,0.0000
1253440,0.0000
1340245,0.0000
1942106,1.0000
1279497,0.0000
1861078,0.0000
1258437,0.0000
1249848,0.0000
1341728,0.0000
1319623,0.0000
1256920,0.0000
1280665,0.0000
1881346,0.0000
1256819,0.9995
1966025,0.0000
1899069,0.0000
1277793,0.0000
1457086,0.0004
1305827,0.0000
1275373,0.6299
1937123,0.0000
1531147,0.0000
1882119,0.0000
1291718,0.0000
1317611,0.2179
1311078,0.0000
1280910,0.0000
1274435,0.0000
1281983,0.0000
1934033,0.9992
1250810,0.0000
1883301,0.0000
1288746,0.1852
1294474,0.0000
1294671,0.5795
1314162,0.9999
1258520,0.0907
1263139,0.9999
1904300,0.9999
1315832,0.9037
1326695,0.0000
1295429,0.0000
1319066,1.0000
1308164,0.0000
1500128,0.0000
1904495,0.0000
1876461,0.0000
1326188,0.0000
1250075,0.0000
1315296,0.9770
1922204,0.0000
1290116,0.0000
1339996,0.0000
1935417,0.0000
1960167,0.0000
1280682,0.0000
1253530,0.7492
1325427,0.0000
1338864,0.0000
1277854,0.0000
1774038,0.9992
1295488,0.0000
1390183,0.0000
1345555,0.1311
1249156,0.0000
1879426,1.0000
1312314,0.0056
1370181,0.9403
1943148,0.0000
1896035,0.0000
1502128,0.0000
1443053,0.0000
1290264,0.0000
1308823,0.0000
1281709,0.0000
1330369,0.0000
1479098,0.9326
1292297,0.0000
1663141,0.0000
1389210,0.9993
1252091,0.0000
1347104,0.0000
1260459,0.9954
1246580,0.0000
1261241,0.0000
1880304,1.0000
1297878,0.0000
1292443,0.0000
1950064,0.0000
1567045,0.0000
1314889,0.0000
1500047,0.0000
1281513,0.0000
1247158,0.0000
1946301,0.0000
1951091,0.0000
1248735,0.0000
1550072,0.0000
1862309,0.0000
1311214,0.9961
1257496,0.9963
1942150,0.0000
1837112,0.0000
1504120,0.0000
1279511,0.0000
1898231,0.0000
1643289,0.0000
1702068,0.9962
1297280,0.0000
1924177,0.0000
1899141,0.0000
1278624,0.0000
1696021,0.0000
1704027,0.0000
1254335,0.0000
1266469,0.0000
1303496,1.0000
1898135,0.0000
1254670,1.0000
1368385,0.0000
1536021,0.9997
1574027,0.0000
1274553,0.0000
1250533,0.0000
1255737,0.9998
1253199,0.0860
1785090,0.0000
1299453,0.0000
1810197,0.0000
1334423,1.0000
1251593,0.0000
1368458,0.9995
1310204,0.0000
1295880,0.0000
1303597,0.0000
1252984,0.0000
1249899,0.0000
1346599,0.0000
1900066,0.0000
1543017,0.0000
1253951,0.0000
1439031,0.7990
1273193,0.0000
1970028,0.0000
1894302,0.0000
1384090,0.3335
1306445,0.0000
1332795,0.9995
1927114,0.0000
1321499,0.9999
1883125,0.0000
1324345,0.9999
1331450,0.0000
1257556,0.0000
1562109,0.0000
1278586,0.1229
1280473,0.0000
1366190,0.0011
1246459,0.0000
1320116,0.0070
1913354,0.0008
1368149,0.0094
1876655,0.0000
1254975,0.0000
1935152,0.0000
1368126,0.0000
1328241,0.0000
1392286,0.0000
1257895,0.0000
1596033,0.9968
1267197,0.0000
